ID,Full Name,name_strict,strict_key,is_strict_dup,strict_group_size
741,Pilar Pérez Díaz,pilar perez diaz,pilar perez diaz,False,1
742,Dr. José Sánchez,jose sanchez,jose sanchez,False,3
743,Ana Ro~dríguez,ana ro driguez,ana ro driguez,False,1
744,José Fernández,jose fernandez,jose fernandez,True,9
745,Juan García García,juan garcia garcia,juan garcia garcia,False,2
746,Luis Hernández Jiménez,luis hernandez jimenez,luis hernandez jimenez,False,1
747,Carlos Hernández Gutiérrez,carlos hernandez gutierrez,carlos hernandez gutierrez,False,1
748,Elena López,elena lopez,elena lopez,False,8
749,Pedro Martín,pedro martin,pedro martin,True,6
750,Francisco Rodríguez,francisco rodriguez,francisco rodriguez,True,9
751,Rafael Jiménez,rafael jimenez,rafael jimenez,False,5
752,Fernando Gómez,fernando gomez,fernando gomez,True,3
753,Francisco González López,francisco gonzalez lopez,francisco gonzalez lopez,False,1
754,Fernando Gutiérrez Sánchez,fernando gutierrez sanchez,fernando gutierrez sanchez,False,1
755,Carlos Lóp~ez Fernández,carlos lop ez fernandez,carlos lop ez fernandez,False,1
756,Francisco Díaz Alonso,francisco diaz alonso,francisco diaz alonso,False,2
757,Luis López García,luis lopez garcia,luis lopez garcia,False,3
758,Luis Hernández,luis hernandez,luis hernandez,True,7
759,Marta Díaz,marta diaz,marta diaz,False,4
760,Teresa López,teresa lopez,teresa lopez,True,4
761,Juan Fernández Sánchez,juan fernandez sanchez,juan fernandez sanchez,False,1
762,Pedro Hernández,pedro hernandez,pedro hernandez,True,9
763,Francisco Romero Ruiz,francisco romero ruiz,francisco romero ruiz,False,1
764,Rafael Muñoz,rafael munoz,rafael munoz,True,10
765,Elena Álvarez Rodríguez,elena alvarez rodriguez,elena alvarez rodriguez,False,1
766,María García Alonso,maria garcia alonso,maria garcia alonso,True,3
767,Pablo Sánchez Romero,pablo sanchez romero,pablo sanchez romero,False,1
768,Pedro Fernández Ruiz,pedro fernandez ruiz,pedro fernandez ruiz,False,1
769,Sofía López Gómez,sofia lopez gomez,sofia lopez gomez,False,1
770,Ana Muñoz,ana munoz,ana munoz,False,4
771,Javier Jiménez,javier jimenez,javier jimenez,True,10
772,Sra. Pilar Gutiérrez Romero,pilar gutierrez romero,pilar gutierrez romero,False,1
773,María García,maria garcia,maria garcia,False,3
774,María López Álvarez,maria lopez alvarez,maria lopez alvarez,False,1
775,Elena Romero Pérez,elena romero perez,elena romero perez,True,2
776,Lucía González López,lucia gonzalez lopez,lucia gonzalez lopez,False,1
777,Elena Díaz,elena diaz,elena diaz,True,7
778,Francisco González,francisco gonzalez,francisco gonzalez,True,6
779,Ana Rodríguez Rodríguez,ana rodriguez rodriguez,ana rodriguez rodriguez,False,1
780,Rafael Muñoz,rafael munoz,rafael munoz,True,10
781,Pablo   Muñoz López,pablo munoz lopez,pablo munoz lopez,False,1
782,Rafael López,rafael lopez,rafael lopez,True,7
783,Javier Pérez González,javier perez gonzalez,javier perez gonzalez,False,1
784,Juan Pérez,juan perez,juan perez,True,8
785,María Hernández Martínez,maria hernandez martinez,maria hernandez martinez,False,1
786,Javier García Muñoz,javier garcia munoz,javier garcia munoz,False,1
787,María González Sánchez,maria gonzalez sanchez,maria gonzalez sanchez,False,1
788,Juan Hernández,juan hernandez,juan hernandez,True,8
789,Rafael Sánchez,rafael sanchez,rafael sanchez,False,3
790,Javier Moreno,javier moreno,javier moreno,False,4
791,Carmen González,carmen gonzalez,carmen gonzalez,False,9
792,Isabel Martín,isabel martin,isabel martin,True,9
793,Marta Sánchez,marta sanchez,marta sanchez,True,13
794,Francisco Pérez,francisco perez,francisco perez,True,8
795,Rafael Álvarez Díaz,rafael alvarez diaz,rafael alvarez diaz,False,1
796,Rafael Gómez Muñoz,rafael gomez munoz,rafael gomez munoz,False,1
797,Marta Moreno,marta moreno,marta moreno,True,9
798,Francisco Ruiz Hernández,francisco ruiz hernandez,francisco ruiz hernandez,False,1
799,Fernando Ruiz Martínez,fernando ruiz martinez,fernando ruiz martinez,False,2
800,María González Ruiz,maria gonzalez ruiz,maria gonzalez ruiz,False,1
801,Carmen López,carmen lopez,carmen lopez,True,3
802,Teresa Sánchez,teresa sanchez,teresa sanchez,False,4
803,Marta Romero,marta romero,marta romero,False,7
804,Isabel Fernández,isabel fernandez,isabel fernandez,False,6
805,Luis Sánchez,luis sanchez,luis sanchez,False,7
806,Rafael Pérez Gómez,rafael perez gomez,rafael perez gomez,False,1
807,Isabel Martínez,isabel martinez,isabel martinez,True,6
808,Fernando Fernández Hernández,fernando fernandez hernandez,fernando fernandez hernandez,False,1
809,Fernando Martín,fernando martin,fernando martin,True,7
810,Luis Romero,luis romero,luis romero,False,6
811,Carmen Álvarez García,carmen alvarez garcia,carmen alvarez garcia,False,1
812,Teresa Gómez Sánchez,teresa gomez sanchez,teresa gomez sanchez,False,1
813,Elena Álvarez Sánchez,elena alvarez sanchez,elena alvarez sanchez,False,1
814,Rafael Rodríguez,rafael rodriguez,rafael rodriguez,True,10
815,Sofía Romero Pérez,sofia romero perez,sofia romero perez,False,1
816,Francisco Hernández,francisco hernandez,francisco hernandez,True,6
817,Marta Fernández,marta fernandez,marta fernandez,True,4
818,Pedro Gómez Ruiz,pedro gomez ruiz,pedro gomez ruiz,False,1
819,Ana Fernández,ana fernandez,ana fernandez,True,7
820,Isabel   Pérez Díaz,isabel perez diaz,isabel perez diaz,False,1
821,Isabel Moreno,isabel moreno,isabel moreno,True,5
822,Lic. José Sánchez,jose sanchez,jose sanchez,True,3
823,Rafael Ruiz Díaz,rafael ruiz diaz,rafael ruiz diaz,False,1
824,Juan Moreno,juan moreno,juan moreno,False,6
825,Sofía Sánchez,sofia sanchez,sofia sanchez,True,9
826,Juan Martínez Martínez,juan martinez martinez,juan martinez martinez,False,1
827,Carlos Díaz,carlos diaz,carlos diaz,True,9
828,Rafael Hernández Gómez,rafael hernandez gomez,rafael hernandez gomez,False,1
829,Carmen Hernández,carmen hernandez,carmen hernandez,True,8
830,Fernando Moreno Martín,fernando moreno martin,fernando moreno martin,True,2
831,Carmen González,carmen gonzalez,carmen gonzalez,True,9
832,Marta Pérez Pérez,marta perez perez,marta perez perez,False,2
833,Sofía Hernández,sofia hernandez,sofia hernandez,True,8
834,Juan Muñoz Álvarez,juan munoz alvarez,juan munoz alvarez,False,1
835,Carlos Fernández,carlos fernandez,carlos fernandez,True,6
836,Pablo Martín,pablo martin,pablo martin,True,12
837,Isabel M)artín,isabel m artin,isabel m artin,False,1
838,Carmen Romero Gonzá_lez,carmen romero gonza lez,carmen romero gonza lez,False,1
839,Ana Sánchez Pérez,ana sanchez perez,ana sanchez perez,False,1
840,Teresa Gómez Gómez,teresa gomez gomez,teresa gomez gomez,False,1
841,Luis Martínez,luis martinez,luis martinez,False,5
842,María Muñoz Gutiérrez,maria munoz gutierrez,maria munoz gutierrez,False,1
843,Isabel Alonso Hernández,isabel alonso hernandez,isabel alonso hernandez,False,1
844,Luis  Romero,luis romero,luis romero,True,6
845,María Hernández Díaz,maria hernandez diaz,maria hernandez diaz,False,1
846,Pedro Rodríguez,pedro rodriguez,pedro rodriguez,True,7
847,Pilar Díaz,pilar diaz,pilar diaz,False,6
848,Marta Martín Fernández,marta martin fernandez,marta martin fernandez,False,2
849,Lucía Gómez,lucia gomez,lucia gomez,True,5
850,Francisco Pérez Alonso,francisco perez alonso,francisco perez alonso,False,1
851,Isabel Martínez Ruiz,isabel martinez ruiz,isabel martinez ruiz,False,1
852,Pablo Álvarez González,pablo alvarez gonzalez,pablo alvarez gonzalez,False,1
853,Marta Romero Díaz,marta romero diaz,marta romero diaz,False,1
854,Rafael Jiménez Jiménez,rafael jimenez jimenez,rafael jimenez jimenez,False,4
855,Carlos Rodríguez Alonso,carlos rodriguez alonso,carlos rodriguez alonso,False,1
856,Pilar Hernández,pilar hernandez,pilar hernandez,True,9
857,Sofía   López Hernández,sofia lopez hernandez,sofia lopez hernandez,False,2
858,Marta  Moreno Martín,marta moreno martin,marta moreno martin,False,1
859,Pilar Gutiérrez Martín,pilar gutierrez martin,pilar gutierrez martin,False,1
860,Teresa Gutiérrez,teresa gutierrez,teresa gutierrez,True,8
861,Elena López,elena lopez,elena lopez,True,8
862,Luis Díaz,luis diaz,luis diaz,True,7
863,Francisco Romero,francisco romero,francisco romero,False,4
864,Ana Martín Romero,ana martin romero,ana martin romero,False,1
865,Col. Ana García,col ana garcia,col ana garcia,False,1
866,Carlos Gómez Hernández,carlos gomez hernandez,carlos gomez hernandez,False,1
867,Marta Martín,marta martin,marta martin,False,4
868,Teresa Sánchez Romero,teresa sanchez romero,teresa sanchez romero,False,1
869,Luis Romero,luis romero,luis romero,True,6
870,Juan Fernández Martínez,juan fernandez martinez,juan fernandez martinez,False,1
871,Teresa Moreno,teresa moreno,teresa moreno,False,6
872,Pedro Moreno,pedro moreno,pedro moreno,True,9
873,Marta Muñoz Ruiz,marta munoz ruiz,marta munoz ruiz,False,1
874,Francisco =Martín Moreno,francisco martin moreno,francisco martin moreno,False,1
875,Luis Hernández,luis hernandez,luis hernandez,True,7
876,José Hernández,jose hernandez,jose hernandez,False,6
877,Ana Rodríguez García,ana rodriguez garcia,ana rodriguez garcia,False,1
878,Pilar Díaz,pilar diaz,pilar diaz,True,6
879,Fernando Álvarez,fernando alvarez,fernando alvarez,True,5
880,Ana Gutiérrez García,ana gutierrez garcia,ana gutierrez garcia,False,1
881,Pedro  Gutiérrez Muñoz,pedro gutierrez munoz,pedro gutierrez munoz,False,1
882,Javier Rodríguez,javier rodriguez,javier rodriguez,True,9
883,Lucía Romero Martín,lucia romero martin,lucia romero martin,False,1
884,Juan Díaz,juan diaz,juan diaz,True,6
885,Fernando Martín,fernando martin,fernando martin,True,7
886,Juan Jiménez Álvarez,juan jimenez alvarez,juan jimenez alvarez,False,1
887,Pedro Martínez,pedro martinez,pedro martinez,True,7
888,Carmen Martínez,carmen martinez,carmen martinez,True,7
889,Javier Hernández Álvarez,javier hernandez alvarez,javier hernandez alvarez,False,1
890,María Gutiérrez Díaz,maria gutierrez diaz,maria gutierrez diaz,False,1
891,Fernando Sánchez Gutiérrez,fernando sanchez gutierrez,fernando sanchez gutierrez,True,2
892,Lic. Carlos Romero Díaz,carlos romero diaz,carlos romero diaz,False,1
893,Pablo Martínez García,pablo martinez garcia,pablo martinez garcia,False,1
894,Marta Gómez,marta gomez,marta gomez,True,5
895,Fernando Gómez Álvarez,fernando gomez alvarez,fernando gomez alvarez,False,1
896,Lucía Álvarez,lucia alvarez,lucia alvarez,True,5
897,Sofía Martínez Romero,sofia martinez romero,sofia martinez romero,False,1
898,Sofía Martín,sofia martin,sofia martin,True,12
899,Ana   Hernández Gutiérrez,ana hernandez gutierrez,ana hernandez gutierrez,False,1
900,Marta García,marta garcia,marta garcia,True,2
901,Fernando Pérez Gutiérrez,fernando perez gutierrez,fernando perez gutierrez,False,1
902,Sofía García,sofia garcia,sofia garcia,True,4
903,Lucía Moreno,lucia moreno,lucia moreno,True,8
904,Marta González,marta gonzalez,marta gonzalez,True,9
905,Sra. Ana Romero,ana romero,ana romero,True,6
906,Luis Sánchez Fernández,luis sanchez fernandez,luis sanchez fernandez,False,1
907,Teresa Romero Ruiz,teresa romero ruiz,teresa romero ruiz,False,1
908,Luis Hernández Alonso,luis hernandez alonso,luis hernandez alonso,False,2
909,Pablo González González,pablo gonzalez gonzalez,pablo gonzalez gonzalez,False,2
910,Elena   Ruiz,elena ruiz,elena ruiz,True,6
911,Javier Martínez Pérez,javier martinez perez,javier martinez perez,False,1
912,Lucía Fernández Moreno,lucia fernandez moreno,lucia fernandez moreno,False,1
913,Teresa Romero García,teresa romero garcia,teresa romero garcia,False,1
914,Pedro Gutiérrez,pedro gutierrez,pedro gutierrez,True,11
915,Rafael Pérez Ruiz,rafael perez ruiz,rafael perez ruiz,False,2
916,Fernando Muñoz,fernando munoz,fernando munoz,False,5
917,Sofía Rodríguez,sofia rodriguez,sofia rodriguez,True,6
918,Isabel González,isabel gonzalez,isabel gonzalez,True,4
919,Carmen Rodríguez Moreno,carmen rodriguez moreno,carmen rodriguez moreno,False,1
920,Carmen Jiménez,carmen jimenez,carmen jimenez,True,7
921,Pablo   Pérez Muñoz,pablo perez munoz,pablo perez munoz,False,1
922,Sra. Juan Sánchez Gómez,juan sanchez gomez,juan sanchez gomez,False,1
923,Rafael González Ruiz,rafael gonzalez ruiz,rafael gonzalez ruiz,False,2
924,Carmen Díaz,carmen diaz,carmen diaz,True,6
925,Carmen Ruiz Al+onso,carmen ruiz al onso,carmen ruiz al onso,False,1
926,Fernando Alonso,fernando alonso,fernando alonso,False,4
927,Teresa Muñoz,teresa munoz,teresa munoz,False,6
928,Francisco Díaz López,francisco diaz lopez,francisco diaz lopez,False,1
929,Teresa González Martín,teresa gonzalez martin,teresa gonzalez martin,False,1
930,Lucía Pérez García,lucia perez garcia,lucia perez garcia,False,1
931,Elena Álvarez,elena alvarez,elena alvarez,True,5
932,Sofía Alonso,sofia alonso,sofia alonso,True,11
933,Pilar García,pilar garcia,pilar garcia,False,5
934,Marta García Alonso,marta garcia alonso,marta garcia alonso,False,1
935,Pedro Hernández López,pedro hernandez lopez,pedro hernandez lopez,False,1
936,Elena Martín,elena martin,elena martin,True,8
937,José González,jose gonzalez,jose gonzalez,True,6
938,María Alonso Hernández,maria alonso hernandez,maria alonso hernandez,False,2
939,Juan López Gutiérrez,juan lopez gutierrez,juan lopez gutierrez,False,2
940,Teresa Romero Pérez,teresa romero perez,teresa romero perez,False,1
941,Teresa Gutiérrez Díaz,teresa gutierrez diaz,teresa gutierrez diaz,False,1
942,Fernando Martín Pérez,fernando martin perez,fernando martin perez,False,1
943,Lucía García Álvarez,lucia garcia alvarez,lucia garcia alvarez,False,1
944,Ana Fernández,ana fernandez,ana fernandez,True,7
945,Lucía   Gutiérrez,lucia gutierrez,lucia gutierrez,False,11
946,Juan Gómez Rodríguez,juan gomez rodriguez,juan gomez rodriguez,False,1
947,Ana   Fernández,ana fernandez,ana fernandez,True,7
948,José Hernández,jose hernandez,jose hernandez,True,6
949,Marta Alonso Alonso,marta alonso alonso,marta alonso alonso,False,2
950,Elena Romero Martín,elena romero martin,elena romero martin,False,1
951,Juan Romero Martín,juan romero martin,juan romero martin,False,1
952,Pedro Muñoz Gutiérrez,pedro munoz gutierrez,pedro munoz gutierrez,False,1
953,José Gómez Gómez,jose gomez gomez,jose gomez gomez,False,1
954,Marta Moreno Sánchez,marta moreno sanchez,marta moreno sanchez,False,2
955,Francisco Ruiz,francisco ruiz,francisco ruiz,True,5
956,Elena Muñoz Álvarez,elena munoz alvarez,elena munoz alvarez,False,1
957,Pilar García Martínez,pilar garcia martinez,pilar garcia martinez,False,2
958,Pedro Martínez,pedro martinez,pedro martinez,True,7
959,Ana Álvarez González,ana alvarez gonzalez,ana alvarez gonzalez,False,1
960,Teresa Alonso,teresa alonso,teresa alonso,True,7
961,Lucía González Romero,lucia gonzalez romero,lucia gonzalez romero,False,1
962,Teresa López,teresa lopez,teresa lopez,True,4
963,Lic. Javier González,javier gonzalez,javier gonzalez,True,7
964,José Martín Alonso,jose martin alonso,jose martin alonso,False,2
965,María García García,maria garcia garcia,maria garcia garcia,False,1
966,Lucía Díaz ~Romero,lucia diaz romero,lucia diaz romero,False,1
967,Carmen Moreno,carmen moreno,carmen moreno,True,7
968,Lic. Isabel Jiménez,isabel jimenez,isabel jimenez,True,9
969,Carmen Ruiz Martínez,carmen ruiz martinez,carmen ruiz martinez,False,2
970,Francisco Pérez Martín,francisco perez martin,francisco perez martin,False,1
971,Fernando Martínez,fernando martinez,fernando martinez,False,4
972,Elena Ruiz Alonso,elena ruiz alonso,elena ruiz alonso,False,2
973,María Muñoz,maria munoz,maria munoz,False,5
974,Teresa González Alonso,teresa gonzalez alonso,teresa gonzalez alonso,False,1
975,Ana Moreno Romero,ana moreno romero,ana moreno romero,False,2
976,María Martínez,maria martinez,maria martinez,True,11
977,Lucía López Hernández,lucia lopez hernandez,lucia lopez hernandez,False,2
978,Carmen Gómez Díaz,carmen gomez diaz,carmen gomez diaz,False,1
979,Ana Sánchez,ana sanchez,ana sanchez,False,6
980,Pedro Álvarez,pedro alvarez,pedro alvarez,True,6
981,Elena Mor%eno Fernández,elena mor eno fernandez,elena mor eno fernandez,False,1
982,Fernando Pérez Sánchez,fernando perez sanchez,fernando perez sanchez,False,1
983,Francisco Sánchez González,francisco sanchez gonzalez,francisco sanchez gonzalez,False,2
984,Lucía Hernández,lucia hernandez,lucia hernandez,False,7
985,Rafael Ruiz,rafael ruiz,rafael ruiz,True,8
986,Carlos Muñoz Sánchez,carlos munoz sanchez,carlos munoz sanchez,False,1
987,Elena Romero Gutiérrez,elena romero gutierrez,elena romero gutierrez,False,1
988,Isabel Gutiérrez,isabel gutierrez,isabel gutierrez,False,6
989,Francisco Moreno Jiménez,francisco moreno jimenez,francisco moreno jimenez,False,1
990,Rafael Romero Moreno,rafael romero moreno,rafael romero moreno,False,2
991,Sra. Francisco Díaz,francisco diaz,francisco diaz,False,6
992,Ana Álvarez,ana alvarez,ana alvarez,True,8
993,Mg. Fernando Pérez,mg fernando perez,mg fernando perez,False,1
994,María Alonso Hernández,maria alonso hernandez,maria alonso hernandez,True,2
995,Marta Ruiz,marta ruiz,marta ruiz,False,7
996,Isabel Jiménez,isabel jimenez,isabel jimenez,True,9
997,Juan Romero Romero,juan romero romero,juan romero romero,False,1
998,Carmen Alonso Alonso,carmen alonso alonso,carmen alonso alonso,False,1
999,José Gómez Ruiz,jose gomez ruiz,jose gomez ruiz,False,1
1000,Isabel Romero,isabel romero,isabel romero,True,3
1001,Juan Gutiérrez Muñoz,juan gutierrez munoz,juan gutierrez munoz,False,1
1002,Teresa Moreno,teresa moreno,teresa moreno,True,6
1003,Sofía González Jiménez,sofia gonzalez jimenez,sofia gonzalez jimenez,True,2
1004,Ana Díaz,ana diaz,ana diaz,True,6
1005,Fernando Ruiz Hernández,fernando ruiz hernandez,fernando ruiz hernandez,False,2
1006,María Hernández Gutiérrez,maria hernandez gutierrez,maria hernandez gutierrez,False,1
1007,Sofía Pérez,sofia perez,sofia perez,False,5
1008,Carlos Ruiz García,carlos ruiz garcia,carlos ruiz garcia,False,1
1009,Pedro Pérez García,pedro perez garcia,pedro perez garcia,False,1
1010,Isabel González,isabel gonzalez,isabel gonzalez,True,4
1011,Pilar López,pilar lopez,pilar lopez,False,8
1012,María Rodríguez,maria rodriguez,maria rodriguez,False,8
1013,Pilar Jiménez,pilar jimenez,pilar jimenez,True,7
1014,Carmen Díaz,carmen diaz,carmen diaz,True,6
1015,Teresa Hernández,teresa hernandez,teresa hernandez,True,7
1016,Francisco González,francisco gonzalez,francisco gonzalez,True,6
1017,Javier Rodríguez,javier rodriguez,javier rodriguez,True,9
1018,Carlos Fernández Gómez,carlos fernandez gomez,carlos fernandez gomez,False,2
1019,Dr. Lucía Jiménez,lucia jimenez,lucia jimenez,False,3
1020,Pedro Díaz,pedro diaz,pedro diaz,True,4
1021,Carmen López Martín,carmen lopez martin,carmen lopez martin,False,1
1022,Ana González,ana gonzalez,ana gonzalez,False,7
1023,Dr. Carlos Gutiérrez Rodríguez,carlos gutierrez rodriguez,carlos gutierrez rodriguez,False,1
1024,Carlos Gutiérrez,carlos gutierrez,carlos gutierrez,False,6
1025,Ana Sánchez,ana sanchez,ana sanchez,True,6
1026,Sr. Juan Alonso González,juan alonso gonzalez,juan alonso gonzalez,False,1
1027,Javier Martín,javier martin,javier martin,False,7
1028,Luis López,luis lopez,luis lopez,True,9
1029,Rafael Moreno Álvarez,rafael moreno alvarez,rafael moreno alvarez,False,1
1030,Lucía Hernández,lucia hernandez,lucia hernandez,True,7
1031,Isabel Rodríguez López,isabel rodriguez lopez,isabel rodriguez lopez,False,1
1032,María Sánchez Martín,maria sanchez martin,maria sanchez martin,False,2
1033,Luis Fernández Martínez,luis fernandez martinez,luis fernandez martinez,False,1
1034,Carmen Romero,carmen romero,carmen romero,True,8
1035,Javier Hernández,javier hernandez,javier hernandez,False,3
1036,Elena Rodríguez,elena rodriguez,elena rodriguez,True,9
1037,Carmen Gutiérrez,carmen gutierrez,carmen gutierrez,True,6
1038,Teresa Moreno Romero,teresa moreno romero,teresa moreno romero,False,1
1039,Pablo Romero Ruiz,pablo romero ruiz,pablo romero ruiz,True,2
1040,Lucía López Romero,lucia lopez romero,lucia lopez romero,False,1
1041,Elena   Ruiz,elena ruiz,elena ruiz,True,6
1042,Isabel Romero Martínez,isabel romero martinez,isabel romero martinez,False,1
1043,Lucía Romero,lucia romero,lucia romero,True,5
1044,Teresa Sánchez,teresa sanchez,teresa sanchez,True,4
1045,María Díaz,maria diaz,maria diaz,True,5
1046,Pilar Gómez Alonso,pilar gomez alonso,pilar gomez alonso,False,1
1047,María Alonso,maria alonso,maria alonso,True,5
1048,Pablo Gómez,pablo gomez,pablo gomez,False,7
1049,Francisco Ruiz Díaz,francisco ruiz diaz,francisco ruiz diaz,False,1
1050,Pablo  Alonso,pablo alonso,pablo alonso,True,9
1051,Ana Álvarez,ana alvarez,ana alvarez,True,8
1052,Dr. Juan Romero,juan romero,juan romero,False,11
1053,Rafael Fernández Sánchez,rafael fernandez sanchez,rafael fernandez sanchez,False,1
1054,Pedro Ruiz Díaz,pedro ruiz diaz,pedro ruiz diaz,False,1
1055,Juan Romero Sánchez,juan romero sanchez,juan romero sanchez,False,1
1056,Francisco Fernández,francisco fernandez,francisco fernandez,True,8
1057,Ana Rodríguez,ana rodriguez,ana rodriguez,True,6
1058,Marta Alonso González,marta alonso gonzalez,marta alonso gonzalez,True,3
1059,Carmen González,carmen gonzalez,carmen gonzalez,True,9
1060,Sofía Hernández,sofia hernandez,sofia hernandez,True,8
1061,Lucía Martínez,lucia martinez,lucia martinez,True,7
1062,Javier Rodríguez Moreno,javier rodriguez moreno,javier rodriguez moreno,False,1
1063,Teresa López Ruiz,teresa lopez ruiz,teresa lopez ruiz,False,1
1064,Luis Gómez,luis gomez,luis gomez,True,7
1065,Isabel Hernández,isabel hernandez,isabel hernandez,True,2
1066,Sr. Marta Álvarez González,marta alvarez gonzalez,marta alvarez gonzalez,False,1
1067,Isabel Ruiz Martínez,isabel ruiz martinez,isabel ruiz martinez,False,1
1068,María Martínez,maria martinez,maria martinez,True,11
1069,Lucía Romero García,lucia romero garcia,lucia romero garcia,False,2
1070,María Sánchez Alonso,maria sanchez alonso,maria sanchez alonso,False,1
1071,Lic. Ana Rodríguez Gómez,ana rodriguez gomez,ana rodriguez gomez,False,1
1072,Pedro Gómez Hernández,pedro gomez hernandez,pedro gomez hernandez,False,2
1073,Francisco González,francisco gonzalez,francisco gonzalez,True,6
1074,Teresa Muñoz Sánchez,teresa munoz sanchez,teresa munoz sanchez,False,2
1075,Francisco López Díaz,francisco lopez diaz,francisco lopez diaz,False,1
1076,Carlos Hernández,carlos hernandez,carlos hernandez,True,7
1077,Sr. Teresa Gutiérrez,teresa gutierrez,teresa gutierrez,True,8
1078,Elena Fernández Martín,elena fernandez martin,elena fernandez martin,False,2
1079,Pablo Jiménez,pablo jimenez,pablo jimenez,True,8
1080,Carmen Fernández,carmen fernandez,carmen fernandez,True,9
1081,José García,jose garcia,jose garcia,True,5
1082,Teresa Álvarez,teresa alvarez,teresa alvarez,True,6
1083,Carlos García Díaz,carlos garcia diaz,carlos garcia diaz,False,2
1084,María García Pérez,maria garcia perez,maria garcia perez,False,1
1085,José López,jose lopez,jose lopez,True,5
1086,Pablo  Jiménez,pablo jimenez,pablo jimenez,True,8
1087,Carlos Rodríguez Álvarez,carlos rodriguez alvarez,carlos rodriguez alvarez,False,1
1088,Pablo Martín Ruiz,pablo martin ruiz,pablo martin ruiz,False,1
1089,Marta Moreno,marta moreno,marta moreno,True,9
1090,Luis Martínez Gutiérrez,luis martinez gutierrez,luis martinez gutierrez,False,1
1091,Marta González Gutiérrez,marta gonzalez gutierrez,marta gonzalez gutierrez,False,1
1092,Javier Muñoz,javier munoz,javier munoz,True,10
1093,Fernando Muñoz Ruiz,fernando munoz ruiz,fernando munoz ruiz,False,1
1094,Teresa González,teresa gonzalez,teresa gonzalez,True,8
1095,Francisco Díaz,francisco diaz,francisco diaz,True,6
1096,Sofía González Gutiérrez,sofia gonzalez gutierrez,sofia gonzalez gutierrez,False,1
1097,Carmen López Moreno,carmen lopez moreno,carmen lopez moreno,False,1
1098,Lucía García Fernández,lucia garcia fernandez,lucia garcia fernandez,False,2
1099,Ana Romero García,ana romero garcia,ana romero garcia,False,2
1100,María Pérez López,maria perez lopez,maria perez lopez,False,1
1101,Dr. Pedro González González,pedro gonzalez gonzalez,pedro gonzalez gonzalez,False,2
1102,Pilar Ruiz Alonso,pilar ruiz alonso,pilar ruiz alonso,False,1
1103,Luis Rodríguez Jiménez,luis rodriguez jimenez,luis rodriguez jimenez,False,1
1104,Elena Martín Martín,elena martin martin,elena martin martin,False,3
1105,S~ofía Jiménez Alonso,s ofia jimenez alonso,s ofia jimenez alonso,False,1
1106,Lucía Gutiérrez,lucia gutierrez,lucia gutierrez,True,11
1107,Carlos Pérez García,carlos perez garcia,carlos perez garcia,False,2
1108,Col. José Romero Muñoz,col jose romero munoz,col jose romero munoz,False,1
1109,José Álvarez García,jose alvarez garcia,jose alvarez garcia,False,1
1110,María Rodríguez Moreno,maria rodriguez moreno,maria rodriguez moreno,False,2
1111,Fernando Álvarez Jiménez,fernando alvarez jimenez,fernando alvarez jimenez,False,1
1112,Isabel Díaz Hernández,isabel diaz hernandez,isabel diaz hernandez,False,1
1113,José Fernández González,jose fernandez gonzalez,jose fernandez gonzalez,False,1
1114,Lucía Rodríguez Hernández,lucia rodriguez hernandez,lucia rodriguez hernandez,False,1
1115,Teresa García Rodríguez,teresa garcia rodriguez,teresa garcia rodriguez,False,1
1116,Fernando Moreno Romero,fernando moreno romero,fernando moreno romero,False,1
1117,Luis Sánchez,luis sanchez,luis sanchez,True,7
1118,Sofía   González,sofia gonzalez,sofia gonzalez,True,5
1119,Fernando Martín,fernando martin,fernando martin,True,7
1120,Javier García,javier garcia,javier garcia,True,5
1121,Rafael Moreno,rafael moreno,rafael moreno,False,5
1122,Fernando Ruiz Martínez,fernando ruiz martinez,fernando ruiz martinez,True,2
1123,Fernando Hernández López,fernando hernandez lopez,fernando hernandez lopez,False,2
1124,Francisco Gómez Álvarez,francisco gomez alvarez,francisco gomez alvarez,False,1
1125,Isabel López García,isabel lopez garcia,isabel lopez garcia,False,1
1126,Marta Moreno,marta moreno,marta moreno,True,9
1127,Pablo Martín Álvarez,pablo martin alvarez,pablo martin alvarez,False,1
1128,Teresa Fernández Hernández,teresa fernandez hernandez,teresa fernandez hernandez,False,1
1129,Pablo Jiménez Martín,pablo jimenez martin,pablo jimenez martin,False,1
1130,Javier Martín Rodríguez,javier martin rodriguez,javier martin rodriguez,False,1
1131,Carmen González,carmen gonzalez,carmen gonzalez,True,9
1132,Fernando García,fernando garcia,fernando garcia,True,10
1133,Juan González Romero,juan gonzalez romero,juan gonzalez romero,False,1
1134,Elena Díaz,elena diaz,elena diaz,True,7
1135,Pedro Muñoz,pedro munoz,pedro munoz,True,3
1136,Juan Alonso,juan alonso,juan alonso,True,10
1137,Sofía López Jiménez,sofia lopez jimenez,sofia lopez jimenez,False,1
1138,Pilar Sánchez Muñoz,pilar sanchez munoz,pilar sanchez munoz,False,1
1139,Francisco Rodríguez,francisco rodriguez,francisco rodriguez,True,9
1140,Carlos Fernández Jiménez,carlos fernandez jimenez,carlos fernandez jimenez,False,1
1141,Pilar Martín Sánchez,pilar martin sanchez,pilar martin sanchez,False,1
1142,Isabel López,isabel lopez,isabel lopez,True,9
1143,Marta Pérez Gutiérrez,marta perez gutierrez,marta perez gutierrez,False,3
